,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2019-01-21 00:00:00,2042.8404059853528,1772.0119506924045,2321.5576076033353,3690,2019-01-19 18:00:00
1,2019-01-28 00:00:00,2046.9521011785837,1752.624641920798,2350.0420602887352,4295,2019-01-19 18:00:00
2,2019-02-04 00:00:00,1912.8248145229022,1648.4057889531318,2187.2949393258073,4359,2019-01-19 18:00:00
3,2019-02-11 00:00:00,1899.700528696109,1630.7007063315318,2212.379210241473,3481,2019-01-19 18:00:00
4,2019-02-18 00:00:00,1958.4629377249776,1668.2784209906247,2244.5102976429675,4088,2019-01-19 18:00:00
5,2019-02-25 00:00:00,2050.174971234571,1782.3982024093884,2323.8762837553654,7667,2019-01-19 18:00:00
6,2019-03-04 00:00:00,2101.0237447532154,1807.251262619007,2405.5520729524214,6078,2019-01-19 18:00:00
7,2019-03-11 00:00:00,2265.165050228203,1990.2260803174036,2536.8213331447087,6211,2019-01-19 18:00:00
8,2019-03-18 00:00:00,2580.1180005713118,2310.295618288009,2864.298390978923,5816,2019-01-19 18:00:00
9,2019-03-25 00:00:00,2861.3438138178904,2571.7021715305955,3157.8944377938155,5358,2019-01-19 18:00:00
10,2019-04-01 00:00:00,2879.35089925137,2596.199326314475,3151.2598111605525,6393,2019-01-19 18:00:00
11,2019-04-08 00:00:00,2649.871723156867,2373.3818294378307,2922.7386837467593,6171,2019-01-19 18:00:00
12,2019-04-15 00:00:00,2456.6980932525767,2179.3858588669386,2745.8174521129467,5859,2019-01-19 18:00:00
13,2019-04-22 00:00:00,2542.6092513270573,2273.7412732434345,2835.841239115165,5382,2019-01-19 18:00:00
14,2019-04-29 00:00:00,2831.0950487576483,2559.7597495043638,3109.651392265199,4308,2019-01-19 18:00:00
15,2019-05-06 00:00:00,3023.182375456803,2735.762349876722,3315.4179434731122,4316,2019-01-19 18:00:00
16,2019-05-13 00:00:00,2954.679931269263,2645.000996937892,3237.479062149021,4531,2019-01-19 18:00:00
17,2019-05-20 00:00:00,2776.423028141495,2503.446672008163,3064.632567619128,4466,2019-01-19 18:00:00
18,2019-05-27 00:00:00,2831.8196143783634,2542.0948887964028,3116.342695932314,5487,2019-01-19 18:00:00
19,2019-06-03 00:00:00,2903.600248620965,2612.6865999396787,3179.552386484977,6637,2019-01-19 18:00:00
20,2019-06-10 00:00:00,3045.0111386955296,2777.6402395905734,3334.5929614918987,6250,2019-01-19 18:00:00
21,2019-06-17 00:00:00,2998.9818152825283,2698.968787971993,3271.521199931366,6038,2019-01-19 18:00:00
22,2019-06-24 00:00:00,2849.3697499677805,2541.3618811366337,3115.907185039196,5587,2019-01-19 18:00:00
23,2019-07-01 00:00:00,2821.5091531135613,2524.8679119039152,3098.62343178729,5286,2019-01-19 18:00:00
24,2019-07-08 00:00:00,3009.2126725441694,2738.6804044046276,3293.4875955946673,5656,2019-01-19 18:00:00
25,2019-07-15 00:00:00,3309.493745454024,3053.9514987439434,3596.683028352608,5664,2019-01-19 18:00:00
26,2019-07-22 00:00:00,3623.6720285439997,3339.2402206408624,3920.435989394068,4318,2019-01-19 18:00:00
27,2019-07-29 00:00:00,4004.068996113287,3731.6527432769703,4263.954788601751,5457,2019-01-19 18:00:00
28,2019-08-05 00:00:00,4509.490599660043,4234.0339010875305,4793.735226059011,5668,2019-01-19 18:00:00
29,2019-08-12 00:00:00,4980.912771042633,4696.119172135683,5243.999762039528,5688,2019-01-19 18:00:00
30,2019-08-19 00:00:00,5131.2369273220265,4857.102148099336,5410.971024466735,6010,2019-01-19 18:00:00
31,2019-08-26 00:00:00,4944.404872183783,4665.092108345626,5223.382078741078,5767,2019-01-19 18:00:00
32,2019-09-02 00:00:00,5496.413783104537,5220.500497893079,5768.925543581582,4331,2019-01-19 18:00:00
33,2019-09-09 00:00:00,5492.529424973453,5206.276662880096,5770.328562604903,4377,2019-01-19 18:00:00
34,2019-09-16 00:00:00,6753.426930662222,6479.564918380523,7010.578426985863,3986,2019-01-19 18:00:00
35,2019-09-23 00:00:00,7867.796236687542,7568.181844418725,8131.499282721672,3849,2019-01-19 18:00:00
36,2019-09-30 00:00:00,7911.718261871888,7625.072854616791,8216.957797074767,3497,2019-01-19 18:00:00
37,2019-10-07 00:00:00,6734.729091425874,6459.076004299364,7012.920721734896,4147,2019-01-19 18:00:00
38,2019-10-14 00:00:00,5318.664399358577,5025.358993183112,5602.523700418146,4306,2019-01-19 18:00:00
39,2019-10-21 00:00:00,4367.106256199077,4098.103317002746,4657.801083050636,4625,2019-01-19 18:00:00
40,2019-10-28 00:00:00,4699.035572612393,4421.813425197205,4983.088530544093,5141,2019-01-19 18:00:00
41,2019-11-04 00:00:00,5640.472382499855,5369.100002664169,5930.156848937197,5742,2019-01-19 18:00:00
42,2019-11-11 00:00:00,6331.114288661983,6032.7932664818845,6620.687759774366,5408,2019-01-19 18:00:00
43,2019-11-18 00:00:00,6365.055887863417,6087.761120916095,6643.146596312596,4387,2019-01-19 18:00:00
44,2019-11-25 00:00:00,5953.003853683893,5643.719896949849,6253.008448972753,5876,2019-01-19 18:00:00
45,2019-12-02 00:00:00,5474.130622557767,5182.529643533427,5753.987012469618,6586,2019-01-19 18:00:00
46,2019-12-09 00:00:00,5049.18893320356,4775.249293146459,5349.770481004916,5563,2019-01-19 18:00:00
47,2019-12-16 00:00:00,4584.587999310981,4295.2835794185885,4850.159589634501,4321,2019-01-19 18:00:00
48,2019-12-23 00:00:00,4085.5716126583347,3802.6351328205956,4372.746830803825,3104,2019-01-19 18:00:00
49,2019-12-30 00:00:00,3752.3347892675733,3475.2059790850203,4031.473511745201,3824,2019-01-19 18:00:00
50,2020-01-06 00:00:00,3739.9570278714837,3460.7487832255883,4019.467345741037,2950,2019-01-19 18:00:00
51,2020-01-13 00:00:00,3934.905476648691,3657.9553712728093,4208.706782803689,2667,2019-01-19 18:00:00
52,2020-01-20 00:00:00,3963.298100947742,3679.7077988917804,4255.355162788974,1868,2019-01-19 18:00:00
