Month,Forecasted Trailer Tires Sold,**ALL WAREHOUSES**
2/29/20,5610.684113,
3/31/20,16438.22014,
4/30/20,19751.03249,
5/31/20,19654.31064,
6/30/20,22742.41449,
7/31/20,18855.86267,
8/31/20,18416.05015,
9/30/20,15416.54412,
10/31/20,10443.60668,
11/30/20,7760.871763,
12/31/20,8979.245651,
1/31/21,4701.65212,
2/28/21,5814.638561,
3/31/21,16634.12308,
4/30/21,19937.06435,
5/31/21,19830.53961,
6/30/21,22909.68291,
7/31/21,19013.94371,
8/31/21,18565.76505,
9/30/21,15558.05348,
10/31/21,10576.99562,
11/30/21,7886.757204,
12/31/21,9098.729139,